State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
Uttar Pradesh,Satrikh,18.6,26.5,,,,13.0,68.0,31.0,32.0,Good
Uttar Pradesh,Malihabad,15.8,22.6,,,,15.0,63.0,32.0,27.0,Good
Uttar Pradesh,Lucknow,15.8,22.6,,,,26.0,74.0,32.0,27.0,Good
Uttar Pradesh,Mohan,15.8,22.6,,,,17.0,63.0,32.0,27.0,Good
Uttar Pradesh,Nagram,18.6,26.5,,,,17.0,65.0,32.0,32.0,Good
Uttar Pradesh,Zaidpur,18.6,26.5,,,,12.0,69.0,31.0,32.0,Good
Uttar Pradesh,Barabanki,18.6,26.5,,,,13.0,68.0,32.0,32.0,Good
Uttar Pradesh,Dewa,18.8,30.9,,,,15.0,66.0,32.0,32.0,Good
Uttarakhand,Devprayag,29.4,42.1,,,,7.0,76.0,27.0,50.0,Good
Uttarakhand,Dhandri Talli,29.4,42.1,,,,7.0,70.0,26.0,50.0,Good
Uttarakhand,Salaraitoli,9.1,12.9,,,,6.0,76.0,23.0,16.0,Good
Uttarakhand,Kotdwar,49.4,71.4,,,,5.0,68.0,30.0,83.0,Satisfactory
Uttarakhand,Sandana,29.4,42.1,,,,6.0,84.0,26.0,50.0,Good
Uttarakhand,Lansdowne,49.4,71.4,,,,6.0,68.0,23.0,83.0,Satisfactory
Uttarakhand,Ranikhet,29.4,42.1,,,,7.0,78.0,23.0,50.0,Good
Uttarakhand,Srinagar,29.4,42.1,,,,7.0,71.0,30.0,50.0,Good
Uttarakhand,Dugadda,49.4,71.4,,,,6.0,68.0,27.0,83.0,Satisfactory
Uttarakhand,Ghaglori,29.4,42.1,,,,7.0,72.0,26.0,50.0,Good
Uttarakhand,Rudraprayag,29.4,42.1,,,,8.0,75.0,30.0,50.0,Good
West Bengal,Shrirampur,18.1,26.8,,,,13.0,67.0,32.0,31.0,Good
West Bengal,Bagnan,18.1,26.8,,,,13.0,67.0,32.0,31.0,Good
West Bengal,Talchinan-Sanihati,18.1,26.8,,,,14.0,66.0,32.0,31.0,Good
West Medinipur,Ghatal,16.1,22.8,,,,12.0,61.0,33.0,27.0,Good
West Medinipur,Kharar,16.1,22.8,,,,12.0,60.0,33.0,27.0,Good
West Bengal,Arambag,16.1,22.8,,,,12.0,64.0,32.0,27.0,Good
West Bengal,Memari,25.8,36.9,,,,13.0,66.0,32.0,44.0,Good
West Bengal,Bardhaman,24.7,35.2,,,,13.0,67.0,32.0,42.0,Good
West Bengal,Patrasayer,24.7,35.2,,,,10.0,63.0,32.0,42.0,Good
West Medinipur,Ramjibanpur,16.1,22.8,,,,12.0,61.0,33.0,27.0,Good
West Bengal,Bhanjipur,18.1,26.8,,,,12.0,68.0,32.0,31.0,Good
